activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases.co2e_total,constituent_gases.co2e_other,constituent_gases.co2,constituent_gases.ch4,constituent_gases.n2o
construction-type_power_communication_structures,7a44d464-f3d7-4288-af1e-eb4b1b3d3318,Power and communication structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: power and communication structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.42400000000000004,ar4,climatiq,,0.01,0.314,0.004,0.0
construction-type_single_family_residential_structures,03b77cc6-8a7f-4d86-a863-e885bc3d6114,Single-family residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: single-family residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.186,ar4,climatiq,,0.008,0.153,0.001,0.0
construction-type_transportation_structures_highways_streets,379fbae9-89f6-4bf5-af73-06e42cad731d,Transportation structures and highways and streets,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: transportation structures and highways and streets. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.40700000000000003,ar4,climatiq,,0.012,0.37,0.001,0.0
professional_services-type_management_consulting,d2f411e1-3b5a-4941-b457-486c42689579,Management consulting,Professional Services and Activities,Organizational Activities,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: management consulting. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.075,ar4,climatiq,,0.003,0.072,0.0,0.0
construction-type_construction_work,93b2d8b5-c6f6-43de-9131-bfad54cc62d6,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,US,United States,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.2708,ar5,source,0.2708,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,dcf2c460-3838-485e-b198-d305dab432a8,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,US,United States,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.5884,ar5,source,0.5884,,,,
machinery-type_construction_machinery,30827b38-bff7-4dd8-9988-da6baab16d43,Construction machinery,Machinery,Equipment,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: construction machinery. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.268,ar4,climatiq,,0.006,0.237,0.001,0.0
construction-type_commercial_structures_incl_farm_structures,bca8e62d-f4bc-4e9d-9234-bbac9bb4e536,Commercial structures/including farm structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: commercial structures/including farm structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.264,ar4,climatiq,,0.032,0.207,0.001,0.0
construction-type_educational_vocational_structures,1d97bfb4-8f93-4bb6-a8e8-df95c8e9036e,Educational and vocational structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: educational and vocational structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.256,ar4,climatiq,,0.032,0.199,0.001,0.0
construction-type_health_care_structures,f78368cd-9d4e-49e3-b8c7-d68fb950dfcd,Health care structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: health care structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.27799999999999997,ar4,climatiq,,0.037,0.216,0.001,0.0
construction-type_manufacturing_structures,1c9a7221-71ef-491a-9dbd-5ba3a3a3bc4d,Manufacturing structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: manufacturing structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.327,ar4,climatiq,,0.017,0.285,0.001,0.0
construction-type_multifamily_residential_structures,f9f886fb-36ba-4256-a626-c93723ac3442,Multifamily residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: multifamily residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.085,ar4,climatiq,,0.005,0.08,0.0,0.0
construction-type_other_nonresidential_structures,6ff8a4ad-70bf-449d-8c74-25e7a6e9eb90,Other nonresidential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: other nonresidential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.337,ar4,climatiq,,0.015,0.297,0.001,0.0
construction-type_other_residential_structures,c08c7232-97b0-4176-847a-f9338feb9ce0,Other residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: other residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.30900000000000005,ar4,climatiq,,0.02,0.264,0.001,0.0
construction-type_power_communication_structures,7a44d464-f3d7-4288-af1e-eb4b1b3d3318,Power and communication structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: power and communication structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.42400000000000004,ar4,climatiq,,0.01,0.314,0.004,0.0
construction-type_single_family_residential_structures,03b77cc6-8a7f-4d86-a863-e885bc3d6114,Single-family residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: single-family residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.186,ar4,climatiq,,0.008,0.153,0.001,0.0
construction-type_transportation_structures_highways_streets,379fbae9-89f6-4bf5-af73-06e42cad731d,Transportation structures and highways and streets,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: transportation structures and highways and streets. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.40700000000000003,ar4,climatiq,,0.012,0.37,0.001,0.0
professional_services-type_management_consulting,d2f411e1-3b5a-4941-b457-486c42689579,Management consulting,Professional Services and Activities,Organizational Activities,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: management consulting. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.075,ar4,climatiq,,0.003,0.072,0.0,0.0
construction-type_construction_work,67ad7415-c3c8-4d61-9bc0-471c8af3796a,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CA,Canada,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.2881,ar5,source,0.2881,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,303eab69-e681-4c62-896a-72ac7cd20fbe,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CA,Canada,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",2.2152,ar5,source,2.2152,,,,
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a38d6083-dcf6-4527-8c9b-f1373204fc10,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9346576,ar6,climatiq,,,1.924,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7215f5bf-ca57-4abe-a9ae-3c13a694622c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9426576,ar6,climatiq,,,1.932,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7142364d-e3d6-4a77-8d5f-9d97ae7bf5db,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9466576,ar6,climatiq,,,1.936,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,59cf9454-3c88-4b95-a875-ba133d3d3c1c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,47c3fc2b-5579-4935-a673-a0dcd1e2970c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1d0462cd-4bbc-4c0c-a18c-0abac8221a2f,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
construction-type_construction_work,67ad7415-c3c8-4d61-9bc0-471c8af3796a,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CA,Canada,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.2881,ar5,source,0.2881,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,303eab69-e681-4c62-896a-72ac7cd20fbe,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CA,Canada,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",2.2152,ar5,source,2.2152,,,,
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a38d6083-dcf6-4527-8c9b-f1373204fc10,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9346576,ar6,climatiq,,,1.924,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7215f5bf-ca57-4abe-a9ae-3c13a694622c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9426576,ar6,climatiq,,,1.932,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7142364d-e3d6-4a77-8d5f-9d97ae7bf5db,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9466576,ar6,climatiq,,,1.936,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,59cf9454-3c88-4b95-a875-ba133d3d3c1c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
